id,listing_date,neighborhood,price,sqm,rooms,bedrooms,bathrooms,floor,elevator,furnishing,heating,energy_class,year_built,nearest_metro,condo_fees,deposit_months,contract_type,description
ML-2025-01542,2024-12-29,Porta Venezia,1450,68,3,2,2,2,True,unfurnished,central,,1994.0,M1,70.0,1,temporary,"Two-bedroom, with elevator, near metro M1."
ML-2025-01525,02/11/2024,Città Studi,2100,122,5,4,2,3,True,partly furnished,autonomous,,1988.0,M2,220.0,3,4+4,"Large apartment, with elevator, near metro M2."
ML-2025-01139,2024-12-05,Città Studi,850,50,3,2,1,2th,False,unfurnished,autonomous,,1901.0,M2,180.0,3,3+2,"Two-bedroom, in historic building, near metro M2."
ML-2025-00307,2025-02-17,CITTÀ STUDI,1050,54,3,2,1,2,False,partly furnished, autonomous,,1963.0,M2,90.0,1,temporary,"Two-bedroom, near metro M2."
ML-2025-00924,01/11/2024,Greco,€ 700,54 sqm,2,1,1,5,True,unfurnished,centr.,F,1983.0,M1,,1,temporary,"One-bedroom, with elevator, near metro M1."
ML-2025-00937,03/23/2025,Centro Storico,1800,59,3,2,1,7,True,Unfurnished,central,C,2011.0,M1,160.0,3,4+4,"Two-bedroom, recently built, with elevator, near metro M1."
ML-2025-00590,26 March 2025,Porta Romana,850,31,1,1,1,1,True,partly furnished,heat pump,C,2004.0,,250.0,1,student,"Studio, with elevator, near metro M3."
ML-2025-00724,02/01/2025,De Angeli,1400,75,3,2,2,3,True,unfurnished,heat pump,,1935.0,M1,80.0,3,4+4,"Two-bedroom, in historic building, with elevator, near metro M1."
ML-2025-00333,2024-10-10,centro storico,1750,47,3,2,1,2,True,furnished,autonomous,,1968.0,,,2,4+4,"Two-bedroom, with elevator, near metro M1."
ML-2025-01798,2024-11-07,Porta Venezia,€ 1300,66,3,2,2,3,False,furnished,autonomous,G,1951.0,M1,,2,4+4,"Two-bedroom, near metro M1."
ML-2025-02364,11/18/2024,Città Studi,2300,100,3,2,1,4,True,partly furnished,central,E,1998.0,M2,70.0,2,3+2,"Two-bedroom, with elevator, near metro M2."
ML-2025-01493,2025-02-16,Navigli,500,20,1,1,1,7th,True,unfurnished,autonomous,D,1986.0,M2,240.0,2,4+4,
ML-2025-00596,01/27/2025,Città Studi,1300,66,3,2,2,4,True,furnished,central,G,1964.0,M2,190.0,1,student,"Two-bedroom, with elevator, near metro M2."
ML-2025-00396,30/11/2024,Corvetto,750,70,3,2,1,3th,False,unfurnished,autonomous,G,1945.0,M3,110.0,1,student,"Two-bedroom, in historic building, near metro M3."
ML-2025-02357,10 January 2025,Baggio,1000,70,4,3,1,7th,True,FURNISHED,central,D,1987.0,,250.0,2,3+2,"Apartment, with elevator."
ML-2025-00084,2024-10-31,Quadrilatero,3950,104,4,4,1,1,False,furnished,autonomous,,1954.0,M1,90.0,2,4+4,"Large apartment, near metro M1."
ML-2025-01255,2024-12-23,Lambrate,550,34,1,1,1,3,False,unfurnished,autonomous,F,1950.0,M2,180.0,3,3+2,"Studio, near metro M2."
ML-2025-00063,2024-10-17,Greco,300,19,1,1,1,7th,True,furnished,heat pump,,1992.0,M1,180.0,2,4+4,"Studio, with elevator, near metro M1."
ML-2025-01434,11/20/2024,Lambrate,700,38,2,1,1,4,True,unfurnished,central,A,2023.0,M2,220.0,3,3+2,"Studio, recently built, with elevator, near metro M2."
ML-2025-00127,2024-12-17,Greco,700,55,2,1,1,first,False,furnished,central,G,1968.0,M1,130.0,3,4+4,"One-bedroom, near metro M1."
ML-2025-01945,2025-03-13,Affori,1300,113,4,3,2,1,True,unfurnished, autonomous,C,2007.0,M3,80.0,2,3+2,
ML-2025-01339,2025-01-02,Porta Venezia,1450,76,3,3,1,3th,False,partly furnished,autonomous,F,1946.0,M1,200.0,1,temporary,"Two-bedroom, in historic building, near metro M1."
ML-2025-01992,28 December 2024,Porta Romana,1400,83,4,3,1,ground,False,unfurnished,autonomous,G,1934.0,M3,240.0,2,4+4,"Apartment, in historic building, near metro M3."
ML-2025-00384,2025-01-12,BAGGIO,1300,103,4,3,2,3,False,furnished,autonomous ,,,,310.0,1,temporary,"Large apartment, in historic building."
ML-2025-00925,2024-10-29,NoLo,850,54,1,1,1,GF,False,furnished,central,G,1929.0,M2,130.0,2,4+4,"Apartment, in historic building, near metro M2."
ML-2025-00532,2025-03-30,Lorenteggio,1500,118,4,3,2,3th,False,partly furnished,autonomous,,,,230.0,1,student,"Large apartment, in historic building."
ML-2025-01209,2025-01-10,Isola,900,45,2,1,1,7th,True,empty,autonomous,A4,2016.0,M5,80.0,3,3+2,"One-bedroom, recently built, with elevator, near metro M5."
ML-2025-02154,2025-02-26,Greco,1000,57,3,2,1,1st,True,partly furnished,centr.,B,2006.0,,250.0,1,student,"Two-bedroom, with elevator, near metro M1."
ML-2025-01249,07/10/2024,Corvetto,1200,107,5,4,1,1st,False,unfurnished,central,,1977.0,M3,240.0,3,3+2,"Large apartment, near metro M3."
ML-2025-00906,31 March 2025,Baggio,600,46,3,2,1,3th,True,Furnished,central,,2004.0,,160.0,1,temporary,"Two-bedroom, with elevator."
ML-2025-00786,2024-12-16,Baggio,400,42,2,1,1,4,True,unfurnished,heat pump,F,1981.0,,220.0,1,student,"One-bedroom, with elevator."
ML-2025-02452,29/11/2024,Lorenteggio,400,24,1,1,1,5,True,furnished,central,,1988.0,,180.0,2,3+2,"Studio, with elevator."
ML-2025-01632,2024-12-28,porta garibaldi,850,36,3,2,1,4th,True,unfurnished,autonomous,F,1982.0,M5,180.0,2,4+4,
ML-2025-00887,2025-02-17,Bicocca,€ 1150,52,3,2,1,2,True,furnished,autonomous,D,1991.0,,,2,4+4,"Two-bedroom, with elevator, near metro M5."
ML-2025-00190,13/02/2025,Navigli,2750,129,5,4,2,5th,True,furnished,central,G,1923.0,M2,100.0,2,4+4,"Large apartment, in historic building, with elevator, near metro M2."
ML-2025-02242,2024-10-27,Brera,1300,45,3,2,1,1st,False,unfurnished,central,G,1953.0,M2,180.0,2,4+4,"Two-bedroom, near metro M2."
ML-2025-02319,11/06/2024,NoLo,3700,154,5,4,2,ground floor,True,furnished,central,E,1991.0,M1,130.0,1,temporary,"Large apartment, with elevator, near metro M1."
ML-2025-02080,28/12/2024,Affori,1200,90,4,3,1,6,True,unfurnished,autonomous,,1990.0,M3,110.0,2,3+2,"Apartment, with elevator, near metro M3."
ML-2025-00663,06/03/2025,Sempione,1600,78,4,3,1,4,True,partly furnished,Heat pump,,1979.0,M1,100.0,3,3+2,"Apartment, with elevator, near metro M1."
ML-2025-02249,08/02/2025,Sempione,1200,60,4,3,1,3,True,unfurnished,heat pump,G,,M1,110.0,2,4+4,"Apartment, in historic building, with elevator, near metro M1."
ML-2025-01332,06/10/2024,De Angeli,1950,76,2,1,1,3,True,furnished,autonomous,A2,2022.0,M1,130.0,3,4+4,"One-bedroom, recently built, with elevator, near metro M1."
ML-2025-01480,20 January 2025,NoLo,1100,52,1,1,1,4th,True,partly furnished,heat pump,D,1991.0,M1,130.0,3,4+4,"Apartment, with elevator, near metro M1."
ML-2025-00900,2025-03-02,Porta Venezia,2150,80,4,3,1,8,True,furnished,central,A,2010.0,M1,140.0,2,3+2,"Apartment, with elevator, near metro M1."
ML-2025-01262,2024-10-29,Greco,1600,88,3,2,1,6th,True,Furnished,central,D,1993.0,M1,100.0,3,4+4,"Two-bedroom, with elevator, near metro M1."
ML-2025-00583,25/02/2025,Città Studi,4300,176,6,5,2,first,True,furnished, autonomous,B,2018.0,M2,,2,3+2,"Large apartment, recently built, with elevator, near metro M2."
ML-2025-00501,2025-02-15,Lambrate,950,80,3,2,2,1,False,unfurnished,heat pump,G,1953.0,,280.0,1,student,"Two-bedroom, near metro M2."
ML-2025-01845,28 October 2024,Corvetto,850,67,3,2,2,1st,False,unfurnished,autonomous,,1923.0,M3,220.0,2,4+4,
ML-2025-01780,2025-03-24,Quarto Oggiaro,1150,82,5,4,1,3th,True,furnished,autonomous,A,2016.0,M3,210.0,3,4+4,"Apartment, recently built, with elevator, near metro M3."
ML-2025-02475,2025-01-05,Bocconi,2450,106,4,3,2,2,False,partly furnished,autonomous,,1969.0,M3,270.0,1,temporary,"Large apartment, near metro M3."
ML-2025-00959,2024-11-23,Magenta,1550,50,1,1,1,4th,True,furnished,autonomous,A,2016.0,M2,190.0,3,3+2,
ML-2025-02289,15/01/2025,Città Studi,1950,102,4,3,1,6th,True,unfurnished,autonomous,E,1994.0,M2,50.0,1,student,"Large apartment, with elevator, near metro M2."
ML-2025-01598,2024-12-17,Porta Venezia,900,39,1,1,1,2th,False,partly furnished,central,,1936.0,M1,130.0,2,4+4,"Studio, in historic building, near metro M1."
ML-2025-02268,2025-02-21,Lambrate,850,66,4,3,1,1,False,partly furnished,autonomous,G,1954.0,M2,90.0,2,4+4,"Apartment, near metro M2."
ML-2025-01364,2025-01-20,bicocca,1000,80,4,3,1,GF,False,unfurnished,central,,1938.0,M5,170.0,3,4+4,
ML-2025-01813,2025-02-04,Isola,750,32,1,1,1,4,True,partly furnished,autonomous,G,1906.0,M5,70.0,2,4+4,"Studio, in historic building, with elevator, near metro M5."
ML-2025-02238,2024-10-16,Magenta,1950,83,5,4,1,1st,False,partly furnished,autonomous,,1960.0,M2,100.0,2,4+4,
ML-2025-01613,2024-12-15,Bocconi,1050,40,2,1,1,4,True,Furnished,central,G,1935.0,M3,300.0,3,3+2,
ML-2025-02152,2024-12-01,Magenta,1000,36,2,1,1,4th,True,furnished,autonomous,A,2023.0,M1,130.0,2,4+4,"Studio, recently built, with elevator, near metro M1."
ML-2025-00016,15/03/2025,Zone Magenta,1950,97,4,3,1,2,False,unfurnished,autonomous,G,1914.0,M2,260.0,2,4+4,"Apartment, in historic building, near metro M2."
ML-2025-00352,02/02/2025,Quarto Oggiaro,1000,81,4,3,2,4,True,furnished,autonomous,F,1973.0,M3,300.0,2,3+2,"Apartment, with elevator, near metro M3."
ML-2025-01764,2024-10-25,Città Studi,1850,84,3,2,2,6,True,unfurnished,autonomous,,1991.0,M2,150.0,1,student,"Two-bedroom, with elevator, near metro M2."
ML-2025-02076,2025-03-18,Quarto Oggiaro,850,61,3,2,1,4th,True,furnished,autonomous,B,2012.0,M3,70.0,1,student,"Two-bedroom, recently built, with elevator, near metro M3."
ML-2025-00304,2025-02-04,Bicocca,2400,107,5,4,2,3,True,furnished,central,E,1999.0,M5,60.0,2,3+2,"Large apartment, with elevator, near metro M5."
ML-2025-00140,2024-12-03,Lorenteggio,550,46,1,1,1,8th,True,unfurnished,autonomous,D,1984.0,,70.0,2,3+2,"Apartment, with elevator."
ML-2025-01672,2025-03-10,Baggio,750,89,4,3,2,1,False,unfurnished,autonomous,G,1925.0,,80.0,3,4+4,"Apartment, in historic building."
ML-2025-00439,2025-03-14,Lambrate,750,49,1,1,1,4,True,furnished,autonomous,G,1945.0,M2,200.0,1,temporary,"Apartment, in historic building, with elevator, near metro M2."
ML-2025-00616,2025-03-04,Corvetto,1200,99,4,3,2,5th,True,partly furnished,autonomous,,1961.0,M3,280.0,2,4+4,"Apartment, with elevator, near metro M3."
ML-2025-01270,08/01/2025,Isola,550,29,1,1,1,2th,False,furnished,autonomous,G,,M5,120.0,2,3+2,"Studio, in historic building, near metro M5."
ML-2025-00242,28/01/2025,Corvetto,400,39,1,1,1,4,True,unfurnished,autonomous,G,,M3,140.0,2,4+4,"Studio, in historic building, with elevator, near metro M3."
ML-2025-01183,2024-10-17,Bicocca,1250,79,3,2,2,4,True,furnished,autonomous,,,M5,160.0,3,3+2,"Two-bedroom, in historic building, with elevator, near metro M5."
ML-2025-00348,2024-11-30,Brera,2450,95,4,3,2,4,True,unfurnished,Central,G,1932.0,M2,200.0,2,3+2,"Apartment, in historic building, with elevator, near metro M2."
ML-2025-01600,07/12/2024,Baggio,550,49,1,1,1,4th,True,unfurnished,heat pump,F,1975.0,,290.0,3,4+4,"Apartment, with elevator."
ML-2025-01221,03/26/2025,Corvetto,700,42,1,1,1,ground floor,True,furnished,central,D,2006.0,M3,110.0,1,student,"Apartment, with elevator, near metro M3."
ML-2025-00935,2024-12-23,Magenta,700,28,1,1,1,6,True,furnished,autonomous,D,1998.0,M2,130.0,2,4+4,"Studio, with elevator, near metro M2."
ML-2025-00665,10/31/2024,Porta Venezia,2650,116,5,5,2,7th,True,unfurnished,autonomous,D,1993.0,M1,190.0,3,4+4,"Large apartment, with elevator, near metro M1."
ML-2025-01202,2024-11-01,Centro Storico,1900,50,3,2,1,1,True,FURNISHED,auto.,,1997.0,M3,70.0,3,4+4,"Two-bedroom, with elevator, near metro M3."
ML-2025-01819,12/11/2024,Bicocca,1000,62,4,3,1,3th,True,partly furnished,Central,C,2013.0,M5,170.0,3,4+4,"Apartment, recently built, with elevator, near metro M5."
ML-2025-01832,2024-12-03,Sempione,1550,60,3,2,2,4,True,furnished,heat pump,B,2007.0,M1,140.0,2,4+4,"Two-bedroom, with elevator, near metro M1."
ML-2025-00792,26/11/2024,Sempione,1500,62,2,2,1,1st,False,Furnished,autonomous,E,1971.0,M1,280.0,3,3+2,"One-bedroom, near metro M1."
ML-2025-00774,16/11/2024,Tortona,1350,53,1,1,1,6,True,furnished,heat pump,C,2010.0,M2,50.0,3,4+4,"Apartment, with elevator, near metro M2."
ML-2025-01369,2025-02-27,Magenta,2300,96,3,2,2,3th,False,furnished,Central,G,1968.0,M1,310.0,2,4+4,"Two-bedroom, near metro M1."
ML-2025-00895,2025-02-15,Lambrate,800,50,2,1,1,4th,True,partly furnished,autonomous,G,1943.0,M2,70.0,1,temporary,
ML-2025-01759,03/17/2025,Porta Venezia,2700,99,4,3,1,G,True,furnished,autonomous,B,2019.0,M1,160.0,2,3+2,"Apartment, recently built, with elevator, near metro M1."
ML-2025-02310,2025-01-13,Porta Garibaldi,1150,54,2,1,1,1,False,unfurnished,central,E,1937.0,M2,100.0,2,4+4,"One-bedroom, in historic building, near metro M2."
ML-2025-01492,2024-11-14,Tortona,1450,53,2,1,1,5th,True,furnished,autonomous,,2004.0,M2,210.0,3,4+4,
ML-2025-02425,20/12/2024,Isola,1300,50,3,3,1,6,True,furnished,autonomous,B,2010.0,M5,110.0,3,4+4,
ML-2025-01375,03/29/2025,Navigli,800,38,1,1,1,1,False,partly furnished,central,G,1950.0,M2,80.0,2,4+4,"Studio, near metro M2."
ML-2025-00215,06/12/2024,Lambrate,550,35,1,1,1,2,False,furnished,heat pump,,1903.0,M2,260.0,3,4+4,
ML-2025-02087,06/10/2024,Porta Venezia,1150,63,2,1,1,first,False,unfurnished,central,,1931.0,M1,80.0,2,4+4,"One-bedroom, in historic building, near metro M1."
ML-2025-01890,02/06/2025,Lorenteggio,1000,81,4,4,2,2,False,furnished,central,G,1946.0,,200.0,3,3+2,"Apartment, in historic building."
ML-2025-01967,2024-11-08,Magenta,1150,41,1,1,1,5,True,furnished,central,G,1933.0,M2,120.0,1,temporary,"Apartment, in historic building, with elevator, near metro M2."
ML-2025-00559,21 February 2025,Affori,950,71,3,2,1,4th,True,furnished,CENTR.,,1953.0,M3,310.0,3,4+4,"Two-bedroom, with elevator, near metro M3."
ML-2025-00234,2025-01-06,Città Studi,950,51,2,1,1,2th,True,unfurnished,autonomous,,1996.0,M2,180.0,3,4+4,"One-bedroom, with elevator, near metro M2."
ML-2025-00377,2024-10-16,Quarto Oggiaro,750,66,3,2,1,7th,True,furnished,autonomous,C,2005.0,M3,140.0,1,temporary,"Two-bedroom, with elevator, near metro M3."
ML-2025-00131,2024-12-08,NoLo,1450,85,4,4,1,1,False,Furnished,central,,1921.0,M2,230.0,1,temporary,"Apartment, in historic building, near metro M2."
ML-2025-01752,01/26/2025,Navigli,650,28,1,1,1,2,False,furnished,autonomous,F,1977.0,M2,120.0,3,4+4,"Studio, near metro M2."
ML-2025-01597,2024-11-17,Isola,1750,63,3,2,2,7,True,furnished,heat pump,B,2022.0,M5,200.0,3,4+4,"Two-bedroom, recently built, with elevator, near metro M5."
ML-2025-00946,26/01/2025,Centro Storico,1000,42,1,1,1,1,False,partly furnished,heat pump,F,1940.0,M1,120.0,2,4+4,"Apartment, in historic building, near metro M1."
ML-2025-00892,15/03/2025,Quarto Oggiaro,€ 900,72 sqm,4,3,2,3,True,furnished,heat pump,D,2008.0,M3,,2,4+4,"Apartment, with elevator, near metro M3."
ML-2025-00533,8 March 2025,Lorenteggio,450,40,2,1,1,3,True,unfurnished,central,,1985.0,,90.0,3,4+4,"One-bedroom, with elevator."
ML-2025-00106,2025-02-01,Navigli,1250,0,3,2,2,5th,True,furnished,autonomous,G,1949.0,M2,300.0,2,3+2,"Two-bedroom, in historic building, with elevator, near metro M2."
ML-2025-00222,2024-11-03,Sempione,2700,115,4,3,2,3th,True,Furnished,centr.,,1914.0,M1,260.0,3,4+4,"Large apartment, in historic building, with elevator, near metro M1."
ML-2025-01511,2025-02-28,Greco,850,68,3,2,1,2,False,furnished,autonomous,F,1945.0,M1,320.0,2,4+4,"Two-bedroom, in historic building, near metro M1."
ML-2025-01571,2025-02-07,Sempione,1100,63,3,2,2,1st,False,unfurnished,central,G,1960.0,M1,240.0,1,temporary,"Two-bedroom, near metro M1."
ML-2025-01744,03/27/2025,CENTRO STORICO,2050,75,4,3,1,2,False,Partly furnished,autonomous,G,1906.0,M3,250.0,2,4+4,"Apartment, in historic building, near metro M3."
ML-2025-02221,2025-03-29,Lambrate,900,47,2,1,1,2th,True,furnished,Central,E,1988.0,M2,230.0,1,student,"One-bedroom, with elevator, near metro M2."
ML-2025-00449,02/18/2025,Tortona,1700,92,4,4,1,1,False,furnished,central,F,1966.0,M2,100.0,2,4+4,"Apartment, near metro M2."
ML-2025-02017,2024-11-18,Porta Garibaldi,2000,83,4,3,1,3th,True,unfurnished,autonomous,,1939.0,M2,200.0,3,3+2,"Apartment, in historic building, with elevator, near metro M2."
ML-2025-01901,2025-01-23,Bocconi,1500,66,3,2,1,3th,True,unfurnished,autonomous,F,1984.0,M3,160.0,3,4+4,"Two-bedroom, with elevator, near metro M3."
ML-2025-01280,2025-02-13,Città Studi,5250,210,5,5,2,2th,True,partly furnished,centr.,D,2000.0,,90.0,2,3+2,"Large apartment, with elevator, near metro M2."
ML-2025-01761,19/01/2025,NoLo,700,34,1,1,1,6,True,partly furnished,autonomous,C,2011.0,M2,120.0,3,4+4,"Studio, recently built, with elevator, near metro M2."
ML-2025-01359,09/11/2024,Isola,1300,72,2,1,2,1,False,unfurnished,autonomous,G,1943.0,M5,190.0,1,temporary,"One-bedroom, in historic building, near metro M5."
ML-2025-02290,2024-11-29,Navigli,1600,72,2,1,2,6,True,partly furnished,autonomous,C,1995.0,M2,150.0,3,3+2,
ML-2025-00904,26/12/2024,Sempione,1050,58,3,2,1,3th,False,unfurnished,central,D,1971.0,M5,240.0,3,3+2,"Two-bedroom, near metro M5."
ML-2025-00036,27/10/2024,Greco,750,46,2,1,1,7th,True,furnished,autonomous,D,2008.0,M1,120.0,3,3+2,
ML-2025-02466,2025-03-09,Navigli,1050,47,2,1,1,3th,False,furnished,central,G,1965.0,M2,140.0,3,3+2,"One-bedroom, near metro M2."
ML-2025-00019,2025-01-09,NoLo,750,45,3,2,1,4,True,partly furnished,Autonomous,E,1971.0,M1,130.0,2,4+4,"Two-bedroom, with elevator, near metro M1."
ML-2025-00266,2025-02-06,De Angeli,1000,52,2,1,1,4,True,unfurnished,heat pump,A4,2015.0,,150.0,3,3+2,"One-bedroom, recently built, with elevator, near metro M1."
ML-2025-01970,2025-02-16,Centro Storico,3700,122,6,5,2,2,False,unfurn.,heat pump,,1949.0,M1,160.0,2,4+4,"Large apartment, in historic building, near metro M1."
ML-2025-00001,2024-10-31,Tortona,1750,82,5,4,1,2,False,furnished,heat pump,F,1925.0,M2,100.0,3,4+4,"Apartment, in historic building, near metro M2."
ML-2025-00401,2025-03-06,Porta Venezia,800,36,3,2,1,5,True,unfurnished,central,G,1945.0,,170.0,1,temporary,"Studio, in historic building, with elevator, near metro M1."
ML-2025-01553,2025-02-11,Greco,1200,79,4,3,2,5,True,furnished,autonomous,D,2003.0,M1,120.0,3,4+4,"Apartment, with elevator, near metro M1."
ML-2025-01881,2024-12-29,Lambrate,1550,98,5,5,2,8th,True,Unfurnished,central,E,1980.0,M2,120.0,2,3+2,"Apartment, with elevator, near metro M2."
